employee_id,simulation_day,event_sequence,total_events,login_count,logout_count,auth_failure_rate,max_failed_login_streak,country_change_count,location_change_count,unique_device_count,unique_location_count,resource_entropy,device_entropy,after_hours_event_count,download_size_mb_sum,mass_download_event_count,vpn_usage_ratio,burst_max_5min,active_duration_hours,file_access_ratio,night_event_count,application_access_count,file_access_count,demo_kind,attack_scenario,median_idle_gap_sec
EMP-011,2026-03-08,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,39,1,1,0.015,0,0,1,1,1,0.5897,0.15,0,5.1874,0,0.35,3.5082,8.306,0.0,0,24,2,normal,,
EMP-012,2026-03-10,DEVICE_CONNECT|LOGIN|RESOURCE_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|MEETING_JOIN|RESOURCE_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|MEETING_JOIN|MEETING_JOIN|APPLICATION_ACCESS|LOGOUT,37,1,1,0.02,0,0,1,1,1,0.6192,0.15,0,6.2215,0,0.05,5.262,8.7372,0.0,0,14,2,normal,,
EMP-013,2026-03-07,DEVICE_CONNECT|LOGIN|VPN_CONNECT|RESOURCE_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|MEETING_JOIN|EMAIL_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|RESOURCE_ACCESS|MEETING_JOIN|RESOURCE_ACCESS|EMAIL_ACCESS|MEETING_JOIN|RESOURCE_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|VPN_DISCONNECT|LOGOUT,39,1,1,0.01,0,0,1,1,1,0.4091,0.15,0,6.6187,0,0.35,2.5024,7.6073,0.0,0,5,2,normal,,
EMP-014,2026-03-06,DEVICE_CONNECT|LOGIN|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|LOGOUT,31,1,1,0.015,0,0,1,1,1,0.5227,0.15,0,8.4256,0,0.05,3.5919,8.0897,0.0,0,18,2,normal,,
EMP-015,2026-03-09,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|EMAIL_ACCESS|MEETING_JOIN|EMAIL_ACCESS|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,31,1,1,0.02,0,0,1,1,1,0.5381,0.15,0,8.8048,0,0.35,5.0786,8.8298,0.0,0,19,2,normal,,
EMP-016,2026-03-08,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|RESOURCE_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|MEETING_JOIN|MEETING_JOIN|MEETING_JOIN|RESOURCE_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|BREAK_START|BREAK_END|EMAIL_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|MEETING_JOIN|MEETING_JOIN|RESOURCE_ACCESS|MEETING_JOIN|VPN_DISCONNECT|LOGOUT,39,1,1,0.01,0,0,1,1,1,0.5662,0.15,0,2.9338,0,0.35,2.4616,7.7153,0.0,0,7,2,normal,,
EMP-017,2026-03-10,DEVICE_CONNECT|LOGIN|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|MEETING_JOIN|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|LOGOUT,28,1,1,0.015,0,0,1,1,1,0.431,0.15,0,5.8059,0,0.05,4.1517,7.957,0.0,0,15,2,normal,,
EMP-018,2026-03-10,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,28,1,1,0.02,0,0,1,1,1,0.5399,0.15,0,7.3813,0,0.35,5.3185,8.1028,0.0,0,17,2,normal,,
EMP-019,2026-03-07,DEVICE_CONNECT|LOGIN|VPN_CONNECT|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|VPN_DISCONNECT|LOGOUT,36,1,1,0.01,0,0,1,1,1,0.5459,0.15,0,8.0662,0,0.35,2.4069,7.5348,0.0,0,21,2,normal,,
EMP-020,2026-03-10,DEVICE_CONNECT|LOGIN|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|MEETING_JOIN|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|LOGOUT,37,1,1,0.015,0,0,1,1,1,0.5738,0.15,0,8.2666,0,0.05,3.8922,7.9806,0.0,0,21,2,normal,,
EMP-021,2026-03-06,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,23,1,1,0.02,0,0,1,1,1,0.4601,0.15,0,2.5197,0,0.35,4.7337,8.8057,0.0,0,12,2,normal,,
EMP-022,2026-03-08,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|FILE_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|VPN_DISCONNECT|LOGOUT,37,1,1,0.01,0,0,1,1,1,0.532,0.15,0,4.1229,0,0.35,2.4661,7.2479,0.02702702702702703,0,20,2,normal,,
EMP-023,2026-03-08,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|FILE_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,33,1,1,0.015,0,0,1,1,1,0.5037,0.15,0,7.0615,0,0.35,4.4056,8.1336,0.030303030303030304,0,23,2,normal,,
EMP-024,2026-03-09,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,23,1,1,0.02,0,0,1,1,1,0.5831,0.15,0,5.7631,0,0.35,5.5,8.1871,0.0,0,14,2,normal,,
EMP-025,2026-03-06,DEVICE_CONNECT|LOGIN|VPN_CONNECT|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|MEETING_JOIN|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|MEETING_JOIN|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|MEETING_JOIN|EMAIL_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|VPN_DISCONNECT|LOGOUT,38,1,1,0.01,0,0,1,1,1,0.4672,0.15,0,8.3333,0,0.35,3.114,7.6532,0.0,0,20,2,normal,,
EMP-026,2026-03-10,DEVICE_CONNECT|LOGIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|MEETING_JOIN|EMAIL_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|EMAIL_ACCESS|LOGOUT,26,1,1,0.015,0,0,1,1,1,0.4677,0.15,0,3.866,0,0.05,4.5178,8.0632,0.0,0,13,2,normal,,
EMP-027,2026-03-07,DEVICE_CONNECT|LOGIN|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|MEETING_JOIN|APPLICATION_ACCESS|LOGOUT,34,1,1,0.02,0,0,1,1,1,0.5769,0.15,0,4.4685,0,0.05,5.3843,8.818,0.0,0,21,2,normal,,
EMP-028,2026-03-08,DEVICE_CONNECT|LOGIN|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|EMAIL_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|BREAK_START|BREAK_END|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|MEETING_JOIN|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|LOGOUT,30,1,1,0.01,0,0,1,1,1,0.6343,0.15,0,4.6948,0,0.05,2.5464,7.4767,0.0,0,15,2,normal,,
EMP-029,2026-03-10,DEVICE_CONNECT|LOGIN|RESOURCE_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|MEETING_JOIN|RESOURCE_ACCESS|EMAIL_ACCESS|MEETING_JOIN|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|BREAK_START|BREAK_END|RESOURCE_ACCESS|MEETING_JOIN|APPLICATION_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|EMAIL_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|RESOURCE_ACCESS|EMAIL_ACCESS|RESOURCE_ACCESS|APPLICATION_ACCESS|APPLICATION_ACCESS|RESOURCE_ACCESS|LOGOUT,32,1,1,0.015,0,0,1,1,1,0.4329,0.15,0,6.7413,0,0.05,3.6509,7.7679,0.0,0,9,2,normal,,
