profile_id,employee_id,typical_login_start,typical_login_end,working_days,preferred_locations,trusted_devices,usual_resources,average_session_duration,average_daily_logins,vpn_usage_probability,travel_probability,remote_work_probability,preferred_login_days,normal_login_locations,normal_login_hours_variance,average_resources_per_session,average_failed_logins_per_month,normal_browser_usage,normal_operating_systems,device_switch_probability
BPROF-0011,EMP-0011,10,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0023|DEV-0024,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,290.7,1.1,0.18,0.05,0.16,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,1,4.9,2.7,Chrome|Edge,Windows|macOS,0.05
BPROF-0012,EMP-0012,10,17,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0025,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,321.8,1.8,0.15,0.03,0.07,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,1,3.3,1.9,Chrome|Edge,Windows|macOS,0.15
BPROF-0013,EMP-0013,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0026|DEV-0027,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,271.6,1.8,0.14,0.05,0.22,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,1,2.9,2.3,Chrome|Edge,Windows|macOS,0.11
BPROF-0014,EMP-0014,8,18,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-HYDERABAD,DEV-0028|DEV-0029,RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-JIRA|RES-SLACK|RES-EMAIL|RES-MICROSOFT_TEAMS|RES-KNOWLEDGE_BASE,364.7,3.6,0.66,0.2,0.5,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-HYDERABAD,2,5.1,1.9,Chrome|Edge,Windows|macOS,0.46
BPROF-0015,EMP-0015,8,18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0030|DEV-0031|DEV-0032,RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-JIRA|RES-SLACK,357.7,2.1,0.66,0.39,0.33,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,2,5.5,0.1,Chrome|Edge,Windows|macOS,0.3
BPROF-0016,EMP-0016,8,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0033|DEV-0034,RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL|RES-JIRA|RES-SLACK,341.6,3.0,0.56,0.22,0.56,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,2,5.3,0.4,Chrome|Edge,Windows|macOS,0.26
BPROF-0017,EMP-0017,22,6,Mon|Tue|Wed|Thu|Fri|Sat|Sun,LOC-LONDON,DEV-0035|DEV-0036,RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL,505.6,3.3,0.87,0.17,0.47,Mon|Tue|Wed|Thu|Fri|Sat|Sun,LOC-LONDON,3,7.8,0.7,Chrome|Firefox,Windows|Linux,0.16
BPROF-0018,EMP-0018,6,14,Mon|Tue|Wed|Thu|Fri|Sat|Sun,LOC-NEW_YORK,DEV-0037,RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL,447.6,2.9,0.72,0.23,0.27,Mon|Tue|Wed|Thu|Fri|Sat|Sun,LOC-NEW_YORK,3,9.6,2.6,Chrome|Firefox,Windows|Linux,0.16
BPROF-0019,EMP-0019,10,17,Mon|Tue|Wed|Thu|Fri,LOC-LONDON|LOC-SINGAPORE,DEV-0038|DEV-0039,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,265.7,1.2,0.29,0.03,0.14,Mon|Tue|Wed|Thu|Fri,LOC-LONDON|LOC-SINGAPORE,1,4.4,2.6,Chrome|Edge,Windows|macOS,0.07
BPROF-0020,EMP-0020,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-SINGAPORE,DEV-0040|DEV-0041|DEV-0042,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,282.5,1.6,0.27,0.0,0.18,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-SINGAPORE,1,3.9,1.1,Chrome|Edge,Windows|macOS,0.12
BPROF-0021,EMP-0021,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0043,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,253.1,1.3,0.21,0.01,0.09,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,1,3.4,2.7,Chrome|Edge,Windows|macOS,0.06
BPROF-0022,EMP-0022,10,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0044|DEV-0045,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,342.7,1.1,0.23,0.03,0.05,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,1,2.3,2.5,Chrome|Edge,Windows|macOS,0.07
BPROF-0023,EMP-0023,10,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0046|DEV-0047,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,297.8,2.3,0.28,0.01,0.05,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,1,3.2,2.9,Chrome|Edge,Windows|macOS,0.13
BPROF-0024,EMP-0024,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0048|DEV-0049|DEV-0050,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,323.6,2.1,0.26,0.03,0.15,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,1,2.6,1.4,Chrome|Edge,Windows|macOS,0.06
BPROF-0025,EMP-0025,22,6,Mon|Tue|Wed|Thu|Fri|Sat|Sun,LOC-SINGAPORE,DEV-0051|DEV-0052,RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL,509.8,2.6,0.85,0.2,0.46,Mon|Tue|Wed|Thu|Fri|Sat|Sun,LOC-SINGAPORE,3,6.6,2.9,Chrome|Firefox,Windows|Linux,0.16
BPROF-0026,EMP-0026,6,14,Mon|Tue|Wed|Thu|Fri|Sat|Sun,LOC-SINGAPORE|LOC-BENGALURU,DEV-0053|DEV-0054,RES-VPN|RES-AWS_CONSOLE|RES-AZURE_PORTAL,501.0,3.0,0.73,0.28,0.27,Mon|Tue|Wed|Thu|Fri|Sat|Sun,LOC-SINGAPORE|LOC-BENGALURU,3,8.4,1.9,Chrome|Firefox,Windows|Linux,0.21
BPROF-0027,EMP-0027,8,18,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0055|DEV-0056,RES-FINANCE_DATABASE|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS|RES-KNOWLEDGE_BASE|RES-VPN,362.7,3.9,0.56,0.41,0.47,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,2,6.2,1.3,Chrome|Edge,Windows|macOS,0.29
BPROF-0028,EMP-0028,8,18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0057,RES-FINANCE_DATABASE|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,397.7,2.1,0.54,0.4,0.6,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,2,4.2,0.4,Chrome|Edge,Windows|macOS,0.2
BPROF-0029,EMP-0029,8,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0058,RES-FINANCE_DATABASE|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,409.3,3.8,0.51,0.19,0.55,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,2,6.1,1.2,Chrome|Edge,Windows|macOS,0.35
BPROF-0030,EMP-0030,8,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0059|DEV-0060,RES-PAYROLL|RES-FINANCE_DATABASE|RES-EMAIL|RES-MICROSOFT_TEAMS,330.7,2.2,0.16,0.03,0.29,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,1,3.4,0.1,Edge|Chrome,Windows,0.03
BPROF-0031,EMP-0031,8,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0061|DEV-0062,RES-PAYROLL|RES-FINANCE_DATABASE|RES-EMAIL|RES-MICROSOFT_TEAMS,354.5,1.9,0.24,0.01,0.23,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,3.8,0.5,Edge|Chrome,Windows,0.07
BPROF-0032,EMP-0032,10,17,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0063|DEV-0064,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,251.1,1.6,0.16,0.0,0.2,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,1,3.9,1.5,Chrome|Edge,Windows|macOS,0.12
BPROF-0033,EMP-0033,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0065|DEV-0066,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,291.3,1.0,0.12,0.04,0.23,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,1,3.6,2.7,Chrome|Edge,Windows|macOS,0.11
BPROF-0034,EMP-0034,10,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-HYDERABAD,DEV-0067|DEV-0068,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,245.0,1.5,0.29,0.05,0.06,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-HYDERABAD,1,3.1,2.4,Chrome|Edge,Windows|macOS,0.12
BPROF-0035,EMP-0035,8,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0069|DEV-0070,RES-PAYROLL|RES-FINANCE_DATABASE|RES-EMAIL|RES-MICROSOFT_TEAMS,380.4,2.3,0.29,0.04,0.29,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,3.7,0.2,Edge|Chrome,Windows,0.07
BPROF-0036,EMP-0036,8,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-SINGAPORE,DEV-0071,RES-PAYROLL|RES-FINANCE_DATABASE|RES-EMAIL|RES-MICROSOFT_TEAMS,332.2,2.1,0.17,0.05,0.26,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-SINGAPORE,1,5.6,0.8,Edge|Chrome,Windows,0.04
BPROF-0037,EMP-0037,8,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0072|DEV-0073,RES-PAYROLL|RES-FINANCE_DATABASE|RES-EMAIL|RES-MICROSOFT_TEAMS,339.7,2.3,0.27,0.01,0.26,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,4.4,0.3,Edge|Chrome,Windows,0.07
BPROF-0038,EMP-0038,10,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-BENGALURU,DEV-0074|DEV-0075,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,319.2,1.6,0.16,0.0,0.2,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-BENGALURU,1,3.1,2.0,Chrome|Edge,Windows|macOS,0.12
BPROF-0039,EMP-0039,8,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0076|DEV-0077,RES-PAYROLL|RES-FINANCE_DATABASE|RES-EMAIL|RES-MICROSOFT_TEAMS,359.8,1.0,0.28,0.01,0.22,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,1,6.0,0.0,Edge|Chrome,Windows,0.06
BPROF-0040,EMP-0040,8,18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0078|DEV-0079,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS|RES-KNOWLEDGE_BASE|RES-VPN,394.4,2.9,0.8,0.23,0.67,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,2,5.6,0.1,Chrome|Edge,Windows|macOS,0.33
BPROF-0041,EMP-0041,8,18,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0080|DEV-0081,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,402.6,3.4,0.68,0.33,0.36,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,2,5.3,1.9,Chrome|Edge,Windows|macOS,0.33
BPROF-0042,EMP-0042,8,18,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0082|DEV-0083,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,389.7,2.2,0.67,0.28,0.5,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,2,5.0,1.4,Chrome|Edge,Windows|macOS,0.26
BPROF-0043,EMP-0043,10,17,Mon|Tue|Wed|Thu|Fri,LOC-LONDON|LOC-SINGAPORE,DEV-0084|DEV-0085|DEV-0086,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,321.3,2.4,0.22,0.02,0.16,Mon|Tue|Wed|Thu|Fri,LOC-LONDON|LOC-SINGAPORE,1,2.0,1.6,Chrome|Edge,Windows|macOS,0.09
BPROF-0044,EMP-0044,8,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0087|DEV-0088,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,358.9,1.7,0.29,0.07,0.29,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,4.8,1.6,Edge|Chrome,Windows,0.07
BPROF-0045,EMP-0045,8,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-NEW_YORK,DEV-0089|DEV-0090|DEV-0091,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,308.4,2.4,0.25,0.08,0.36,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-NEW_YORK,1,3.3,0.1,Edge|Chrome,Windows,0.15
BPROF-0046,EMP-0046,8,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0092|DEV-0093,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,369.2,1.7,0.38,0.11,0.34,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,1,3.8,0.8,Edge|Chrome,Windows,0.06
BPROF-0047,EMP-0047,10,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0094|DEV-0095,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,347.1,2.3,0.28,0.04,0.09,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,1,4.4,2.4,Chrome|Edge,Windows|macOS,0.1
BPROF-0048,EMP-0048,10,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0096|DEV-0097,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,350.1,1.2,0.13,0.02,0.16,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,3.7,1.6,Chrome|Edge,Windows|macOS,0.13
BPROF-0049,EMP-0049,8,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0098|DEV-0099,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,373.4,2.3,0.29,0.14,0.29,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,3.3,1.7,Edge|Chrome,Windows,0.1
BPROF-0050,EMP-0050,8,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0100|DEV-0101|DEV-0102,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,375.6,1.4,0.36,0.1,0.25,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,3.9,1.4,Edge|Chrome,Windows,0.07
BPROF-0051,EMP-0051,8,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0103|DEV-0104|DEV-0105,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,380.4,1.1,0.23,0.09,0.23,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,1,3.4,0.8,Edge|Chrome,Windows,0.08
BPROF-0052,EMP-0052,8,17,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0106|DEV-0107|DEV-0108,RES-HR_PORTAL|RES-PAYROLL|RES-EMAIL|RES-MICROSOFT_TEAMS,305.6,2.2,0.28,0.13,0.39,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,1,3.0,1.8,Edge|Chrome,Windows,0.11
BPROF-0053,EMP-0053,8,18,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,DEV-0109,RES-CRM|RES-EMAIL|RES-MICROSOFT_TEAMS|RES-VPN|RES-KNOWLEDGE_BASE,413.1,2.6,0.62,0.47,0.65,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE,2,6.6,1.5,Chrome|Edge,Windows|macOS,0.44
BPROF-0054,EMP-0054,8,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0110|DEV-0111,RES-CRM|RES-EMAIL|RES-MICROSOFT_TEAMS|RES-VPN,373.9,2.5,0.55,0.25,0.5,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,2,6.4,1.4,Chrome|Edge,Windows|macOS,0.32
BPROF-0055,EMP-0055,8,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0112|DEV-0113,RES-CRM|RES-EMAIL|RES-MICROSOFT_TEAMS|RES-VPN,418.3,3.1,0.67,0.3,0.5,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,2,4.3,0.9,Chrome|Edge,Windows|macOS,0.32
BPROF-0056,EMP-0056,10,17,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-NEW_YORK,DEV-0114|DEV-0115,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,285.5,1.3,0.17,0.04,0.13,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-NEW_YORK,1,4.3,2.7,Chrome|Edge,Windows|macOS,0.08
BPROF-0057,EMP-0057,8,18,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-BENGALURU,DEV-0116|DEV-0117,RES-CRM|RES-EMAIL|RES-VPN|RES-MICROSOFT_TEAMS,329.9,2.2,0.69,0.49,0.52,Mon|Tue|Wed|Thu|Fri,LOC-SINGAPORE|LOC-BENGALURU,2,6.9,1.1,Chrome|Safari,Windows|macOS,0.31
BPROF-0058,EMP-0058,8,18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-HYDERABAD,DEV-0118|DEV-0119,RES-CRM|RES-EMAIL|RES-VPN|RES-MICROSOFT_TEAMS,314.6,2.7,0.54,0.45,0.78,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-HYDERABAD,2,5.4,1.8,Chrome|Safari,Windows|macOS,0.41
BPROF-0059,EMP-0059,8,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0120|DEV-0121,RES-CRM|RES-EMAIL|RES-VPN|RES-MICROSOFT_TEAMS,355.6,4.2,0.63,0.47,0.59,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,2,5.7,3.8,Chrome|Safari,Windows|macOS,0.47
BPROF-0060,EMP-0060,8,18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,DEV-0122,RES-CRM|RES-EMAIL|RES-VPN|RES-MICROSOFT_TEAMS,285.0,4.8,0.46,0.64,0.75,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU,2,4.7,3.1,Chrome|Safari,Windows|macOS,0.39
BPROF-0061,EMP-0061,10,17,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0123|DEV-0124,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,336.7,2.2,0.21,0.0,0.16,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,1,4.0,1.1,Chrome|Edge,Windows|macOS,0.11
BPROF-0062,EMP-0062,10,17,Mon|Tue|Wed|Thu|Fri,LOC-LONDON|LOC-SINGAPORE,DEV-0125,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,338.7,1.2,0.29,0.03,0.22,Mon|Tue|Wed|Thu|Fri,LOC-LONDON|LOC-SINGAPORE,1,4.1,1.9,Chrome|Edge,Windows|macOS,0.12
BPROF-0063,EMP-0063,10,17,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,DEV-0126,RES-EMAIL|RES-KNOWLEDGE_BASE|RES-SLACK|RES-CONFLUENCE,272.4,2.2,0.21,0.02,0.14,Mon|Tue|Wed|Thu|Fri,LOC-NEW_YORK,1,4.2,1.5,Chrome|Edge,Windows|macOS,0.14
BPROF-0064,EMP-0064,8,18,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,DEV-0127|DEV-0128|DEV-0129,RES-CRM|RES-EMAIL|RES-VPN|RES-MICROSOFT_TEAMS,250.4,4.6,0.47,0.59,0.68,Mon|Tue|Wed|Thu|Fri,LOC-LONDON,2,5.1,1.1,Chrome|Safari,Windows|macOS,0.56
BPROF-0065,EMP-0065,8,18,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-LONDON,DEV-0130|DEV-0131,RES-CRM|RES-CONFLUENCE|RES-SLACK|RES-EMAIL|RES-MICROSOFT_TEAMS|RES-KNOWLEDGE_BASE|RES-VPN,342.6,2.5,0.58,0.38,0.66,Mon|Tue|Wed|Thu|Fri,LOC-BENGALURU|LOC-LONDON,2,6.7,1.0,Chrome|Edge,Windows|macOS,0.26
BPROF-0066,EMP-0066,8,18,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-SINGAPORE,DEV-0132|DEV-0133|DEV-0134,RES-CRM|RES-CONFLUENCE|RES-SLACK|RES-EMAIL,374.0,3.5,0.61,0.31,0.45,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD|LOC-SINGAPORE,2,6.4,0.2,Chrome|Edge,Windows|macOS,0.19
BPROF-0067,EMP-0067,8,18,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,DEV-0135|DEV-0136|DEV-0137,RES-CRM|RES-CONFLUENCE|RES-SLACK|RES-EMAIL,357.6,3.2,0.54,0.28,0.43,Mon|Tue|Wed|Thu|Fri,LOC-HYDERABAD,2,6.2,0.7,Chrome|Edge,Windows|macOS,0.29
